gun_name,gun_archetype,Source,Element ,gun_RoF,Rarity,weapon_type
Truth,Exotic,Quest,Void,15,Exotic,rocket_launcher
Eyes of Tomorrow,Exotic,Raid,Solar,20,Exotic,rocket_launcher
Two-Tailed Fox,Exotic,World,Void/Solar,40,Exotic,rocket_launcher
Wardcliff Coil,Exotic,World,Arc,60,Exotic,rocket_launcher
Quickfang,Lightweight,World,Void,0,Legendary,sword
Goldtusk,Lightweight,Menagerie,Solar,0,Legendary,sword
Temptation Hook,Caster,Umbral Engram,Arc,0,Legendary,sword
Sola's Scar,Caster,Trials,Solar,0,Legendary,sword
Falling Guillotine,Vortex,Umbral Engram,Void,0,Legendary,sword
Night Terror,Adaptive,Moon Essence,Arc,0,Legendary,sword
Stryker's Sure-Hand,Adaptive,BA Forge,Arc,0,Legendary,sword
Hagakure,Adaptive,World,Arc,0,Legendary,sword
Abide the Return,Adaptive,World,Solar,0,Legendary,sword
Zephyr,Adaptive,Dawning,Arc,0,Legendary,sword
Honor's Edge,Adaptive,World,Arc,0,Legendary,sword
Traitor's Fate,Adaptive,Preorder,Arc,0,Legendary,sword
Bequest,Adaptive,DSC Raid,Arc,0,Legendary,sword
It Stared Back,Adaptive,Leviathan,Solar,0,Legendary,sword
Just In Case,Adaptive,Reckoning,Solar,0,Legendary,sword
Steel Sybil Z-14,Adaptive,Crucible,Void,0,Legendary,sword
Negative Space,Adaptive,World Engram,Solar,0,Legendary,sword
Complex Solution,Adaptive,World,Solar,0,Legendary,sword
Unspoken Promise,Adaptive,World,Arc,0,Legendary,sword
Eternity's Edge,Adaptive,World,Solar,0,Legendary,sword
Double-Edged Answer,Adaptive,Strikes,Void,0,Legendary,sword
Future Safe 10,Adaptive,Vance,Solar,0,Legendary,sword
Death's Razor,Adaptive,Menagerie,Solar,0,Legendary,sword
Throne-Cleaver,Aggressive,Menagerie,Void,0,Legendary,sword
Crown-Splitter,Aggressive,World,Void,0,Legendary,sword
Black Talon,Exotic,World,Void,0,Exotic,sword
The Lament,Exotic,Quest,Solar,0,Exotic,sword
Worldline Zero,Exotic,Quest,Arc,0,Exotic,sword
Divinity,Trace Rifle,Raid,Arc,900,Exotic,trace_rifle
Wavesplitter,Trace Rifle,World,Void,900,Exotic,trace_rifle
Ruinous Effigy,Trace Rifle,Quest,Void,900,Exotic,trace_rifle
Coldheart,Trace Rifle,World,Arc,900,Exotic,trace_rifle
Prometheus Lens,Trace Rifle,World,Solar,900,Exotic,trace_rifle
